year|docket_number|facts_of_the_case|question
2003|01-1420|"The State of Washington, through its Department of Social and Health Services, provides foster care to certain children. It also receives and manages Social Security benefits, which it uses to cover its costs, for many of those children. Such beneficiary children filed suit, alleging that the Department's use of their benefits to reimburse itself for the foster care costs violated the ""anti-attachment"" provision of Title II of the Social Security Act, which protects certain benefits from ""execution, levy, attachment, garnishment, or other legal process."" The trial court enjoined the Department from continuing to charge its foster care costs against Social Security benefits and ordered restitution of previous reimbursement transfers. The Washington Supreme Court ultimately affirmed the trial court's holding that the Department's practices violated the anti-attachment provision."|"Does the State of Washington's use of foster childrens' Social Security benefits to reimburse itself for some of its expenditures violate the provision of the Social Security Act that protects benefits from ""execution, levy, attachment, garnishment, or other legal process?"""
2003|01-1757|In 1993, California enacted a new criminal statute of limitations permitting prosecution for sex-related child abuse where the prior limitations period has expired if the prosecution is begun within one year of a victim's report to police. In 1998, Marion Stogner was indicted for sex-related child abuse committed between 1955 and 1973. Without the new statute allowing revival of the State's cause of action, California could not have prosecuted Stogner. Stogner moved to dismiss the complaint on the ground that the Ex Post Facto Clause forbids revival of a previously time-barred prosecution. The trial court agreed, but the California Court of Appeal reversed. The trial court denied Stogner's subsequent dismissal motion, in which he argued that his prosecution violated the Ex Post Facto and Due Process Clauses. The Court of Appeal affirmed.|Does the Ex Post Facto Clause bar the application of California's retroactive extension of the statutes of limitations for sexual offenses committed against minors?
2002|01-1243|"In 1993, Angelo Tsakopoulos purchased the Borden Ranch, an 8348-acre ranch in California. Tsakopoulos planned to subdivide the land into parcels for cultivation as vineyards and orchards. Because a dense layer of material prevented water from reaching the depths necessary to cultivate vineyards or orchards, Tsakopoulos intended to ""deep rip"" the soil. Deep ripping has a dramatic effect on the character of a wetland area. The Corps of Engineers and the Environmental Protection Agency informed Tsakopoulos that he was not to deep rip protected waters without a permit. Ultimately, the District Court found that Tsakopoulos had violated the Clean Water Act multiple times and imposed a substantial fine. The Court of Appeals affirmed in relevant part."|"Does deep plowing ranchland to plant deep-rooted crops constitute the ""addition"" of a ""pollutant"" from a ""point source"" so as to fall within the regulation of the Clean Water Act? Is deep plowing ranchland which is farmable in its natural state to plant deep-rooted crops statutorily exempt from regulation under the Act's exemption for any discharge from ""normal farming...activities such as plowing?"" Does the Act's civil penalty section authorize assessing the maximum daily penalty for each time a plow crosses a seasonal drainage feature, without regard to the number of days when such activity occurred?"
2003|01-1184|"In 1997, police stopped a truck in Nevada and seized the illegal drugs that it was carrying. With the help of the truck drivers, the police set up a sting. Francisco Jimenez Recio and Adrian Lopez-Meza came for the truck and were subsequently arrested. A jury convicted Jimenez Recio and Lopez-Meza of conspiracy, but the trial judge ordered a new trial under Ninth Circuit Court of Appeals precedent that held a conspiracy terminates when ""'there is affirmative evidence of...defeat of the object of the conspiracy.'"" In other words, the federal government could not prosecute the drug conspiracy defendants unless they had joined the conspiracy before the government seized the drugs. The new jury convicted the two men once again. In reversing, the Ninth Circuit held that the evidence presented at the second trial was insufficient to show that Jimenez Recio and Lopez-Meza had joined the conspiracy before the drug seizure."|Is the Ninth Circuit rule -- that a conspiracy ends automatically when the object of the conspiracy becomes impossible to achieve -- valid?
2003|02-69|"The Federal Magistrate Act of 1979 authorizes magistrate judges to conduct ""any or all proceedings in a jury or nonjury civil matter and order the entry of judgment in the case"" with ""the consent of the parties."" When Jon Withrow, a state prisoner, brought suit against members of the prison's medical staff, he gave written consent for the magistrate judge to preside over the entire case. Only one of the three staff members gave written consent. The other two members voluntarily participated. When the medical staff won, Withrow appealed and the Court of Appeals sua sponte remanded the case to determine whether the parties had consented to proceed before the magistrate judge. Ultimately, the magistrate judge reported that she had lacked jurisdiction because such consent had to be expressly given. The District Court adopted the report and recommendation. In affirming, the Court of Appeals found that consent must be express and that the staffs' postjudgment consent was inadequate."|Can consent, under the Federal Magistrate Act of 1979, be inferred from a party's conduct during litigation?
2003|02-258|If a federal court with jurisdiction over a civil action declines to exercise supplement jurisdiction over other related claims, the claims will be dismissed and must be refiled in state court. To prevent the limitations period on those claims from expiring, 28 USC section 1367(d) requires state courts to toll the period while a supplemental claim is pending in federal court. In 1994, Susan Jinks filed a federal-court action against Richland County, South Carolina. The District Court granted the county summary judgment and declined to exercise jurisdiction over Jinks's state-law claims. Jinks then filed the supplemental claims in state court and won. In reversing, the Supreme Court of South Carolina found the state-law claims time-barred. Although they would not have been barred under section 1367(d)'s tolling rule, the court held section 1367(d) unconstitutional as applied to claims brought in state court against a State's political subdivisions.|Is 28 USC section 1367(d), which requires state statute of limitations to be tolled for the period during which a plaintiff's cause of action had previously been pending in federal court, constitutional as applied to lawsuits brought against a State's political subdivisions?
2002|01-270|"Before 1994, the Interstate Commerce Commission (ICC) allowed States to charge interstate motor carriers annual registration fees of up to $10 per vehicle. Under this system, some States discounted or waived registration fees for carriers from other States in exchange for reciprocal treatment. Under the Intermodal Surface Transportation Efficiency Act of 1991 (ISTEA), the ICC implemented a new registration system. ISTEA also capped state registration fees by establishing a fee system that ""will result in a fee for each participating State that is equal to the fee?that such State collected or charged as of?1991."" In 1991, the Michigan Public Service Commission did not levy a fee for Yellow Transportation, Inc.'s trucks pursuant to a reciprocal agreement. However, in 1992, the commission changed how it computed fees and, ultimately, levied a fee of $10 per vehicle on Yellow Transportation's entire fleet. Yellow Transportation sued, alleging that, because Michigan had not collected or charged a 1991 registration fee for those trucks, ISTEA's fee-cap provision prohibits Michigan from levying a fee for them. The Michigan Supreme Court concluded that reciprocity agreements are not relevant in determining what fee a State charged or collected as of 1991. The court reasoned that the new fee system is not based on the fees collected from one company, but at the generic fee Michigan charged or collected from carriers as of 1991."|Did the Michigan Supreme Court err in holding that, under the Intermodal Surface Transportation Efficiency Act of 1991, only a State's generic fee is relevant to determining the fee that was collected or charged as of November 15, 1991?
2004|02-1667|"George Lane and Beverly Jones were disabled and could not access upper floors in Tennessee state courthouses. Lane, Jones, and several others sued Tennessee in federal district court, alleging that by denying them public services based on their disabilities, Tennessee was in violation of Title II of the Americans with Disabilities Act (1990). According to Title II, no person may be denied access to ""services, programs, or activities"" on the basis of his disability. The act allows alleged victims of discrimination to sue states for damages.Tennessee asked that the case be dismissed, claiming that it was barred by the 11th Amendment's prohibition of suits against states in federal courts (the sovereign immunity doctrine). The state citedAlabama v. Garrett(2001), in which the U.S. Supreme Court ruled that Congress had acted unconstitutionally in granting citizens the right to sue states for disability discrimination (such as the denial of employment) under the 14th Amendment's equal protection clause. In that case the Supreme Court reasoned that Congress did not have enough evidence of disability discrimination by states to justify the waiver of sovereign immunity.The district court rejected the state's argument and denied the motion to dismiss. The Sixth Circuit Court of Appeals panel affirmed. The courts reasoned that because Title II of the ADA dealt with the Due process Clause of the 14th Amendment, not the equal protection clause, the ruling inGarrettdid not apply. The court found that while Congress may not have had enough evidence of disability discrimination to waive sovereign immunity for equal protection claims, it did have enough evidence of Due Process violations (such as non-handicap-accessible courthouses) to waive the sovereign immunity doctrine for Due Process claims."|Did the Americans with Disabilities Act violate the sovereign immunity doctrine of the 11th Amendment when, based on Congress's 14th Amendment enforcement powers of the Due Process clause, it allowed individuals to sue states for denying them services based on their disabilities?
2004|03-6696|"In the fall of 2001, Yaser Hamdi, an American citizen, was arrested by the United States military in Afghanistan. He was accused of fighting for the Taliban against the U.S., declared an ""enemy combatant,"" and transfered to a military prison in Virginia. Frank Dunham, Jr., a defense attorney in Virginia, filed a petition for a writ of certiorari in federal district court there, first on his own and then for Hamdi's father, in an attempt to have Hamdi's detention declared unconstitutional. He argued that the government had violated Hamdi's Fifth Amendment right to Due Process by holding him indefinitely and not giving him access to an attorney or a trial. The government countered that the Executive Branch had the right, during wartime, to declare people who fight against the United States ""enemy combatants"" and thus restrict their access to the court system.The district court ruled for Hamdi, telling the government to release him. On appeal, a Fourth Circuit Court of Appeals panel reversed, finding that the separation of powers required federal courts to practice restraint during wartime because ""the executive and legislative branches are organized to supervise the conduct of overseas conflict in a way that the judiciary simply is not."" The panel therefore found that it should defer to the Executive Branch's ""enemy combatant"" determination."|"Did the government violate Hamdi's Fifth Amendment right to Due Process by holding him indefinitely, without access to an attorney, based solely on an Executive Branch declaration that he was an ""enemy combatant"" who fought against the United States? Does the separation of powers doctrine require federal courts to defer to Executive Branch determinations that an American citizen is an ""enemy combatant""?"
2003|02-1369|"Gregory Esparza murdered a store clerk during a robbery in Ohio. He was convicted and sentenced to death for the murder. He appealed the death sentence, arguing that the prosecutors had failed to charge him as the ""principle offender"" in the murder and that he was therefore ineligible for the death penalty under Ohio law. The Ohio Court of Appeals rejected this argument, holding that, because Esparza had been the only person charged in the crime, it would have been redundant (and therefore unnecessary) to charge him as the ""principle offender.""Esparza then filed a second appeal before the Court of Appeals, this time arguing that he had received ineffective assistance of counsel during his first appeal. He specifically cited his attorney's failure to argue that the state had violated the Eighth Amendment's prohibition on cruel and unusual punishment by not following the ""letter of the law"" in its sentencing. The court again rejected Esparza's argument, referring back to its first decision and holding that the prosecutor's error had been harmless and was therefore not grounds for overturning the sentence. The defense attorney's failure to raise Eighth Amendment objections to the prosecutor's error, therefore, was also harmless.Esparza then filed a petition for a writ of habeas corpus in federal district court, raising the same ineffective assistance of counsel claim. In response, Ohio argued that the Ohio Appeals Court's decision had not violated ""clearly established Federal law"" and that the district court therefore could not overturn the sentence. The court sided with Esparza, however, holding that the state's failure to follow its sentencing laws violated the Eighth Amendment. The attorney's failure to raise the Eighth Amendment claim in the first appeal, therefore, was not harmless and could serve as grounds for overturning the sentence. A Sixth Circuit Court of Appeals panel affirmed the federal district court's opinion."|"Did the Ohio Appeals Court violate ""clearly established Federal law"" by deciding that the prosecution's failure to charge Esparza as the ""principle offender"" in a murder was harmless and therefore not grounds for overturning his death sentence?"
2004|03-5165|"Marcus Thornton was stopped after getting out of his vehicle by a police officer who had noticed that the license plate on Thornton's Lincoln Town Car belonged to a Chevy two-door car. During his conversation with Thornton, the officer asked if he could search him. During the search he found two bags of drugs. The officer arrested Thornton, then searched his vehicle (which Thornton had already exited by the time the police officer spoke with him, though the officer had seen him exit it). In the vehicle the officer found a gun.Thornton was convicted of drug and firearms offenses. On appeal, he moved to have the gun dismissed as evidence because, he claimed, it had been found as the result of an unconstitutional search. He argued that the officer had contacted him after he had left the vehicle and that the search therefore did not fall within the ""search incident to arrest"" exception to the Fourth Amendment warrant requirement (the exception allows police to search the person being arrested and the area ""within his immediate control"").A Fourth Circuit Court of Appeals panel rejected his argument, holding that requiring officers to signal their intent to arrest a person before he exited his vehicle would be dangerous because it would give him a chance to get any weapons in the vehicle or to use the vehicle to get away or run over the officers."|"Under the ""search incident to arrest"" exception to the Fourth Amendment, may police search the vehicle of a person they have arrested if they did not make contact with him until after he left the vehicle?"
2003|02-1597|A jury convicted Gentry in state court for stabbing his girlfriend. Gentry appealed, arguing his lawyer's closing argument deprived him of his federal Sixth Amendment right to effective assistance of counsel. While Gentry's appeal lost in state courts, the U.S. Ninth Circuit Court of Appeals reversed Gentry's conviction.|"Was a federal appellate court correct in determining that a state appellate court was ""objectively unreasonable"" for ruling that Gentry's Sixth Amendment right to effective counsel was not violated?"
2004|02-626|"The Miccosukee Tribe of Indians and the Friends of the Everglades sued the South Florida Water Management District under the Clean Water Act (CWA) in federal district court. The suit alleged that the water district violated the Clean Water Act by releasing pollutants from a pump system without a discharge elimination system permit. The Clean Water Act prohibits the ""addition of any pollutant... from any point source"" without a specific permit. The water district defended its action by claiming that it was not actually adding pollutants to the water, but merely transporting polluted water from one body of water to another, less polluted, body.The district court ruled against the water district and found that it had violated the CWA by using the pump. The 11th Circuit Court of Appeals affirmed on this point, ""conclud[ing] that the release of water caused by the... pump station's operation constitutes an addition of pollutants from a point source."""|Does pumping water into a water conservation area - where the water being pumped contains a pollutant but the pumping station itself adds no pollutants to the water - violate the Clean Water Act's prohibition of adding pollutants from a point source?
2004|02-1580|After the 2000 census reduced the size of the Pennsylvania Congressional delegation by two members, the Republican-controlled state legislature passed a redistricting plan that clearly benefitted Republican candidates. Several members of the Democratic party sued in federal court, claiming that the plan was unconstitutional because it violated the one-person, one-vote principle of Article I, Section 2 of Constitution, the Equal Protection clause, the Privileges and Immunities clause, and the freedom of association.The district court dismissed all but the Article I, Section 2 claim. It held that the voters bringing the suit had not proved that they would be denied representation, only that they would be represented by Republican officials. Because the plaintiffs (those bringing the suit) were not denied the right to vote, to be placed on the ballot box, to associate as a party, or to express their political opinions, their political discrimination claims failed.However, the court found the act unconstitutional because it created districts with different numbers of voters, thereby violating the one-person, one-vote principle. Because the plaintiffs had shown that it was possible to create districts with smaller differences, and because the defendants had failed to justify the disparities resulting under their plan, it was therefore unconstitutional.|Can voters affiliated with a political party sue to block implementation of a Congressional redistricting plan by claiming that it was manipulated for purely political reasons? Does a state violate the Equal Protection clause of the 14th Amendment when it disregards neutral redistricting principles (such as trying to avoid splitting municipalities into different Congressional districts) in order to achieve an advantage for one political party? Does a state exceed its power under Article I of the Constitution when it draws Congressional districts to ensure that a minority party will consistently win a super-majority of the state's Congressional seats?
2004|02-1606|"Pamela Hood had an outstanding debt to the Tennessee Student Assistance Corporation, a loan-granting institution established by the state, when she filed for bankruptcy. The state objected to her request that the debt be forgiven (""discharged"" in the terms of bankruptcy law) by the federal bankruptcy court, arguing that to discharge the debt would violate the state's sovereign immunity (that is, its right not to be sued). Hood countered that the Federal Rules of Bankruptcy Procedure allow student loan debts to be discharged if the bankruptcy filer can demonstrate that they will suffer ""undue hardship"" if the debt is not forgiven, and that this congressional permission is a constitutional waiver of state sovereign immunity because it falls under the power granted to Congress by the Bankruptcy Clause (Article I, Section 8 of the U.S. Constitution).The bankruptcy court sided with Hood, finding that Congress had acted constitutionally in waiving the states' sovereign immunity. The Sixth Circuit Bankruptcy Appellate Panel affirmed, as did a normal panel of the Sixth Circuit."|Does the Bankruptcy Clause (Article I Section 8 of the U.S. Constitution) give Congress the power to waive a state's sovereign immunity in matters pertaining a federal bankruptcy court's forgiveness of debt owed to the state?
2004|02-1845|"Juan Davila sued his HMO in state court because it had refused to provide certain procedures, and the refusal led to certain injuries. He brought the suit under a Texas law that requires HMOs ""to exercise ordinary care"" for their patients. The HMO asked that the case be moved to federal court, arguing that the case should be governed under the Employee Retirement Income Security Act of 1974 (ERISA) rather than the Texas law, because ERISA is a federal law the takes precedence over any state laws dealing with the same subject matter. Davila objected, arguing that the case did not fall under ERISA and should be heard in state court. The federal district court sided with the HMO, finding that ERISA prohibits individuals from filing state suits against HMOs when they refuse to pay for a particular treatment. A Fifth Circuit Court of Appeals panel reversed."|Does the Employee Retirement Income Security Act of 1974 prohibit individuals from suing their HMOs in state court when the HMOs refuse to provide a recommended treatment?
2004|02-1684|"Police interviewed Michael Alvarado, 17, without his parents at a police station about his involvement in a crime. Police neither arrested nor Mirandized Alvarado. During the interview, Alvarado confessed involvement. Based, in part, on these statements, Alvarado was convicted of second-degree murder and attempted robbery. After failed appeals in the California courts, Alvarado unsuccessfully sought a writ of habeas corpus in federal district court in California. The Ninth Circuit Court of Appeals reversed. Recognizing the ""in custody"" standard to be whether a reasonable person would feel free to end interrogation, the appeals court held that a juvenile is more likely to feel he is in custody. Because Alvarado was ""in custody,"" the Fifth Amendment required that his rights under Miranda v. Arizona (1966) be read to him."|"When deciding whether a suspect is ""in custody"" and therefore entitled to his Miranda warnings, must an officer consider the suspect's age and previous history with law enforcement?"
2004|02-1377|"Seven coal miners sued the Department of Labor, claiming that the department had violated the federal Privacy Act and the right to privacy found in the federal Constitution by releasing their social security numbers (SSNs). The Privacy Act stated that any ""person entitled to recovery"" in a suit against the government for a violation of privacy would be awarded ""actual damages sustained by the individual... but in no case... [would the damages awarded be] less than the sum of $1000"" and attorney fees.The miners argued that all they needed to prove in order to receive the $1000 minimum award was that the government had violated their privacy by releasing their SSNs; they did not need to prove that they had suffered actual damages. They maintained that the inclusion of ""actual damages"" in the act was only intended to limit the size of judgments awarded against the government, not to require proof of actual damage. The government argued that the act required the miners to prove that they had been harmed by the government's violation of their privacy.The district court ruled in favor of the government. A divided Fourth Circuit Court of Appeals panel affirmed."|"Does the federal Privacy Act require that people prove they suffered ""actual damage"" stemming from the government's violation of their privacy rights in order to win damages in a suit against the government?"
2004|03-6539|"Jay Shawn Johnson, on trial in California for murder, objected to the district attorney's use of peremptory challenges to eliminate all three black prospective jurors. Johnson argued the eliminations were based on race. The judge denied Johnson's motions and held that Johnson had failed to show a ""strong likelihood"" that the dismissals were race-based. The judge relied on People v. Wheeler, the 1978 case in which the California Supreme Court ruled that to establish a prima facie case of racial bias in peremptory challenges, the objector had to show ""strong likelihood"" that the challenges were race- based. The jury found Johnson guilty of second-degree murder.Johnson appealed and argued that the ""strong likelihood"" standard in Wheeler was at odds with the 'reasonable inference"" standard the U.S. Supreme Court set in Batson v. Kentucky (1986). The appeals court agreed and reversed Johnson's conviction. The California Supreme Court reversed and ruled that the two standards were the same."|In order to establish a prima facie case underBatson v. Kentucky, 476 U.S. 79 (1986), must the objector show that it is more likely than not that the other party's peremptory challenges were based on impermissible group bias?
2004|02-1794|When Manuel Flores-Montano approached the U.S.-Mexico border, U.S. Customs inspectors noticed his hand shaking; an inspector tapped Flores-Montano's gas tank with a screwdriver and noticed that the tank sounded solid; a drug-sniffing dog alerted to the vehicle. After a mechanic began disassembling the car's fuel tank, inspectors found 37 kilograms of marijuana bricks in the tank.Flores-Montano was charged in federal district court in California for importing and possessing marijuana with intent to distribute. Flores-Montano moved to suppress the marijuana finding on Fourth Amendment grounds. He argued that the search that yielded the marijuana finding was intrusive and non-routine and therefore required reasonable suspicion (which, he argued, was not present in his case).Relying on U.S. v. Molina-Tarazon, a case decided by the U.S. Ninth Circuit Court of Appeals in 2002 (with similar circumstances), the district court agreed that the search was non-routine and thus required reasonable suspicion. The government, the court held, failed to prove that reasonable suspicion prompted its search. The Ninth Circuit Court of Appeals affirmed.|Does the Fourth Amendment require customs officers at the international border to have reasonable suspicion in order to remove, disassemble, and search a vehicle's gas tank for illegal material?
2004|02-1080|"General Dynamics Land Systems renegotiated its union contract to provide full health care benefits only to retirees who were more than 50 years old by a July 1, 1997, deadline. Union member Dennis Cline fell two years short of 50 at the time of the deadline and was excluded permanently from receiving health benefits.Cline - along with 196 other 40-to 49-year-old employees - filed suit against General Dynamics under the Age Discrimination in Employment Act of 1967 (ADEA). ADEA protects workers over 40 from age discrimination. Since the contract excluded workers between the ages of 40 and 49, Cline alleged that providing benefits only to retirees 50 and up was illegal age discrimination.A U.S. district court in Ohio rejected Cline's claims. The court ruled that the ADEA does not recognize claims for ""reverse discrimination"" or preferential treatment for older people within the same over-40 class. Cline appealed and the U.S. Court of Appeals for the Sixth Circuit reversed. The court ruled that General Dynamics was guilty of plain age discrimination, since the ADEA protects all persons over 40 from age discrimination by their employers."|"Does the Age Discrimination in Employment Act (1967) prohibit ""reverse discrimination"" against workers over 40 (e.g., providing more favorable employer benefits to workers over 50 than to younger workers who are still over 40)?"
2004|02-1632|"Blakely pleaded guilty to the kidnapping of his estranged wife and the facts admitted in his plea supported a maximum sentence of 53 months. Washington state law allows a judge to impose a sentence above the standard range if he finds ""substantial and compelling reasons"" for doing so that were not computed into the standard range sentence. The judge in this case imposed an ""exceptional"" sentence of 90 months after determining Blakely had acted with ""deliberate cruelty.""Blakely appealed, arguing that this sentencing procedure deprived him of his federal Sixth Amendment right to have a jury determine beyond a reasonable doubt all facts legally essential to his sentence. A state appellate court affirmed the sentence and the state supreme court denied review."|Does a fact (other than a prior conviction) necessary to increase a sentence beyond the statutory standard range need to be proved by a jury and beyond a reasonable doubt?
2003|02-473|On July 15, 1998 police officers, with a warrant, knocked on the door of suspected drug dealer Lashawn Banks. They waited between 15 and 20 seconds, and when Banks did not come to the door they smashed it open with a battering ram. Banks was arrested but, before his trial, he filed a motion to suppress the evidence found in his apartment because, he claimed, the forced entry had been unlawful. When the request was denied, he pled guilty, but eventually attempted to retract his guilty plea on the advice of a new attorney. The new attorney, Randall Roske, argued that the search was unconstitutional because officers did not wait long enough before breaking down the door, and had no evidence that waiting longer would have had negative consequences. A Ninth Circuit Court of Appeals agreed, ruling the search unconstitutional and suppressing the evidence found during it.|How long must officers wait after knocking on a door before they can use force to break it down in order to execute a warrant?
2004|03-1027|"Jose Padilla, an American citizen, was arrested in Chicago's O'Hare International Airport after returning from Pakistan in 2002. He was initially detained as a material witness in the government's investigation of the al Qaeda terrorist network, but was later declared an ""enemy combatant"" by the Department of Defense, meaning that he could be held in prison indefinitely without access to an attorney or to the courts. The FBI claimed that he was returning to the United States to carry out acts of terrorism.Donna Newman, who had represented him while he was being held as a material witness, filed a petition for habeas corpus on his behalf. The U.S. District Court for the Southern District of New York ruled that Newman had standing to file the petition despite the fact that Padilla had been moved to a military brig in South Carolina. However, the court also found that the Department of Defense, under the President's constitutional powers as Commander in Chief and the statutory authorization provided by Congress's Authorization for Use of Military Force, had the power to detain Padilla as an enemy combatant. The district judge rejected Newman's argument that the detention was prohibited by the federal Non-Detention Act, which states that no ""citizen shall be imprisoned or otherwise detained by the United States except pursuant to an Act of Congress.""On appeal, a divided Second Circuit Court of Appeals panel reversed the district court's ""enemy combatant"" ruling. The panel found that the Authorization for Use of Military force did not meet the requirement of the Non-Detention Act and that the President could not, therefore, declare American citizens captured outside a combat zone as enemy combatants."|"Does Congress's ""Authorization for use of Military Force"" authorize the President to detain a United States citizen based on a determination that he is an enemy combatant, or is that power precluded by the Non-Detention Act?"
2003|02-763|"After a heart attack left her unable to continue working as a housekeeper in the late 1980s, Pauline Thomas took a job as an elevator operator. By the mid- 1990s, however, Thomas's job and others like it were eliminated as elevators became automated. Thomas applied for Social Security disability benefits because she could not do other work. The Social Security Administration (SSA), however, rejected her claim because, it said, she was still able to perform the duties of her former position. The fact that it was nearly impossible to find such a position, the SSA held, did not entitle her to benefits under disability law. An administrative judge and a federal district court both upheld the SSA's position, but the Third Circuit Court of Appeals reversed, holding that ""a claimant's previous work must be substantial gainful work which exists in the national economy."""|Are persons eligible for Social Security disability benefits if they are still able to perform their jobs, but the jobs no longer exists in meaningful numbers in the national economy?
2004|02-1541|Felipe E. Tovar was charged with drunk-driving in Iowa three times in four years. Tovar pleaded guilty both times and waived his right to an attorney the first time. The third time, because Iowa law increases sentencing for successive drunk-driving, Tovar faced up to five years in prison. Tovar argued that his first conviction was an invalid waiver of his 6th Amendment right to counsel and should not increase his third sentence. The waiver was invalid, Tovar argued, because the judge did not warn him of the consequences of entering a guilty plea without an attorney. The Iowa district court rejected Tovar's argument and sentenced him to 30 days in jail. The court of appeals affirmed. The Iowa Supreme Court reversed.|Given the 6th Amendment's right to counsel, to what extent must a defendant be informed of the consequences of pleading guilty while waiving the right to an attorney?
2003|02-1019|Arizona police went to the home of Rodney Gant in search of drugs and to arrest him for failing to appear in court. When they arrived at the house, Gant was not there (though two other people were in his home, one of whom was in possession of a crack pipe) but while the police were still at the house Gant pulled into the driveway. While Gant was still in his car, an officer shined a flashlight into the vehicle, but the police made no other contact with him until he stepped out of the car. After he was out of the car, the police searched it and found drugs and a handgun. Gant was arrested and charged with possession of drugs and drug paraphernalia.Before trial, Gant asked the judge to rule the evidence found in the car unconstitutional because the search had been conducted without a warrant in violation of the Fourth Amendment's prohibition of unreasonable searches and seizures. The trial judge denied the motion, ruling that the search was a direct result of Gant's lawful arrest and therefore an exception to the general Fourth Amendment warrant requirement under New York v. Belton (1981). Gant was convicted and sentenced to three years in prison.Gant appealed, and the Arizona Court of Appeals reversed the conviction, ruling the search unconstitutional. The court found that exceptions to the Fourth Amendment warrant requirement must be justified by concerns for officer safety or evidence preservation. The court ruled that these justifications did not apply in Gant's case because he had left the vehicle voluntarily without being stopped by police or asked to get out of the car. The search of the vehicle was therefore not directly connected to the arrest and, without that justification, clearly violated the Fourth Amendment.|When police arrest the recent occupant of a vehicle who got out voluntarily, can they search the vehicle without a warrant?
2003|02-809|A police officer stopped a car for speeding, searched the car, and seized money from the glove compartment and cocaine from behind the back-seat armrest. The officer arrested the car's three occupants after they denied ownership of the drugs and money. A state court sentenced Pringle, the front-seat passenger, for possessing and intending to distribute cocaine after he signed a written confession. The state appellate court reversed the conviction, holding that the mere finding of cocaine in the back armrest when Pringle was in the front-seat of a car being driven by its owner was insufficient to establish probable cause for arrest for possession.|Does an arrest of a front-seat passenger in a car driven by its owner, after police find cocaine in the car's back armrest, lack probable cause and violate the Fourth Amendment's prohibition of unreasonable searches and seizures?
2004|02-1824|"Haley was convicted in Texas state courts of a felony theft and sentenced as a habitual felony offender (extending his sentence). After a failed appeal to the Texas appellate court, Haley filed a state habeas application in the trial court, arguing that his past crimes did not qualify him as a habitual offender and that his attorney had provided ineffective counsel when he failed to object to the extended sentence. The court dismissed his claims on procedural grounds, because he had not raised the issue during his trial and therefore could not raise it in the habeas petition. The Texas Court of Criminal Appeals denied his habeas application based on the trial court's findings.Haley then filed for habeas corpus relief in federal district court. Pointing to the procedural-default doctrine, Texas argued that Haley's claim was procedurally barred from federal habeas review. Under the procedural-default doctrine, federal courts cannot grant habeas relief if the last state court rejected the appeal for procedural violations of state law; the only exception is if the petitioner is actually innocent.The district court held that Haley showed he was ""actually innocent"" of earlier violations on which his sentence enhancement was based. The court ruled that Haley's sentence was therefore improperly extended. It never reached his ineffective assistance of counsel claim, having already found grounds for overturning the extended sentence. The U.S. Fifth Circuit Court of Appeals affirmed, rejecting Texas's argument that the actual-innocence exception applies only to cases involving capital offenses."|Does the actual-innocence exception to the procedural-default doctrine apply to both capital and non-capital cases?
2004|02-1196|"Charles Edwards founded a company that sold pay telephones and then leased them back from the purchasers for a fixed monthly fee. After Edwards filed for bankruptcy, the Securities and Exchange Commission (SEC) sued him for selling securities (considering the telephones to be investments on the part of the purchasers and therefore securities) in violation of the registration and anti-fraud provisions of the federal securities laws.A federal district court froze Edwards' assets in a preliminary injunction. The 11th Circuit Court of Appeals overruled the district court's injunction for lack of jurisdiction. The SEC, the court reasoned, failed to show that Edwards' selling pay telephones was an ""investment contract"" under federal securities laws. In defining ""investment contract,"" the court used the Supreme Court's ruling in SEC v. W.J. Howey Co. (1946), that a financial interest is an ""investment contract"" if it involves (1) an investment of money, (2) in a common enterprise, (3) with the expectation of profits to be derived solely from the efforts of others. The 11th Circuit ruled that the SEC could not meet the test's third part because the purchasers received a fixed fee that was guaranteed by contract and therefore not dependant on Edwards' success."|"Does the Securities Exchange Act's (1934) term ""investment contract"" include an investment scheme in which the promoter promises a fixed return or the investor is entitled to a particular rate of return?"
2004|02-1343|"The Engine Manufacturers Association (EMA) sued the South Coast Air Quality Management District (SCAQMD) - established under the California Health and Safety Code - in federal district court. The EMA alleged that the Clean Air Act (CAA) preempted SCAQMD's ""fleet rules"" - rules that required new commercial vehicles to meet specific emissions standards - and that the rules were therefore illegal. The EMA pointed to section 209 of the act, which prohibits states from enforcing ""any standard relating to the control of emissions from new motor vehicles."" Reasoning that the regulations affected the standards at which engines could be sold, not the standards to which they must be manufactured, and finding that Congress's purpose was to protect manufactures from ""having to build engines in compliance with a multiplicity of standards,"" the district court ruled that the CAA did not preempt California's fleet rules. The Ninth Circuit Court of Appeals affirmed."|Does the Clean Air Act preempt local government regulations prohibiting the purchase of new motor vehicles with specified emission characteristics?
